Processing: baby1990.html
reading: baby1990.html
1990
Jessica 1
Jessie 254
Jessika 600
Jill 329
Jillian 122
Joan 763
Joana 905
Joann 684
Joanna 138
Joanne 561
Jocelyn 219
Jodi 473
Jodie 871
Jody 986
Joelle 792
Johanna 374
Jolene 795
Jordan 59
Jordyn 480
Josephine 437
Josie 619
Joy 375
Joyce 479
Juana 812
Juanita 529
Judith 454
Judy 575
Julia 83
Juliana 427
Julianna 658
Julianne 444
Julie 93
Julissa 776
Justina 536
Justine 188
Kacey 651
Kaci 621
Kacie 517
Kacy 957
Kaela 807
Kaila 435
Kailey 602
Kaitlin 101
Kaitlyn 78
Kaitlynn 654
Kala 543
Kaleigh 531
Kaley 601
Kali 445
Kalie 931
Kallie 942
Kalyn 850
Kandace 751
Kandice 752
Kanesha 951
Kanisha 714
Kara 110
Karen 120
Kari 256
Karina 189
Karissa 313
Karla 279
Karli 926
Karly 889
Kasandra 670
Kasey 216
Kassandra 312
Kassie 748
Kate 270
Katelin 567
Katelyn 75
Katelynn 378
Katharine 401
Katherine 26
Katheryn 906
Kathleen 92
Kathrine 781
Kathryn 57
Kathy 503
Kati 878
Katie 55
Katlin 627
Katlyn 343
Katrina 127
Katy 514
Kaycee 846
Kayla 14
Kaylee 234
Kayleigh 414
Kaylie 806
Kaylin 718
Kaylyn 677
Keely 767
Keisha 396
Kelley 308
Kelli 181
Kellie 264
Kelly 41
Kelsea 779
Kelsey 32
Kelsi 495
Kelsie 321
Kendall 404
Kendra 117
Kenisha 879
Kenya 614
Keri 388
Kerri 438
Kerry 447
Keshia 593
Kia 860
Kiana 758
Kiara 171
Kiera 566
Kierra 433
Kiersten 620
Kiley 753
Kim 788
Kimber 985
Kimberlee 710
Kimberley 666
Kimberly 31
Kira 527
Kirsten 157
Kirstie 457
Kirstin 564
Kori 793
Kortney 676
Kourtney 402
Krista 145
Kristal 692
Kristan 958
Kristen 42
Kristi 269
Kristian 628
Kristie 376
Kristin 65
Kristina 77
Kristine 238
Kristy 248
Kristyn 520
Krysta 707
Krystal 104
Krysten 841
Krystin 932
Krystina 754
Krystle 461
Kyla 428
Kyle 823
Kylee 422
Kylie 179
Kyra 570
Lacey 148
Laci 784
Lacie 642
Lacy 355
Lakeisha 587
Laken 954
Lakeshia 896
Lana 808
Laquita 826
Lara 538
Larissa 403
Lashonda 893
Latasha 360
Latifah 702
Latisha 493
Latonya 798
Latoya 253
Latrice 749
Laura 29
Laurel 532
Lauren 10
Laurie 649
Lauryn 700
Lea 516
Leah 82
Leandra 803
Leann 693
Leanna 389
Leanne 534
Lee 955
Leeann 813
Leigh 469
Leila 999
Lena 528
Lesley 539
Leslie 115
Leticia 340
Lia 952
Liana 799
Liliana 369
Lillian 366
Lily 585
Linda 175
Lindsay 69
Lindsey 51
Linsey 993
Lisa 64
Lisette 944
Lissette 897
Liza 890
Lizbeth 629
Lizeth 967
Lizette 625
Logan 610
Lora 768
Loren 515
Lorena 383
Loretta 934
Lori 323
Lorraine 656
Lourdes 910
Lucero 867
Lucia 582
Lucy 451
Luisa 968
Luz 604
Lydia 206
Lyndsay 715
Lyndsey 384
Lynette 820
Lynn 580
Lynsey 987
Mackenzie 247
Macy 641
Madeleine 578
Madeline 197
Madelyn 733
Madison 203
Maegan 576
Magdalena 919
Magen 875
Maggie 288
Mai 796
Maira 800
Makayla 804
Mallory 162
Mandi 876
Mandy 467
Mara 540
Maranda 596
Marcella 759
Marcia 901
Margaret 102
Margarita 459
Mari 933
Maria 47
Mariah 259
Marian 935
Mariana 508
Marianne 980
Maribel 393
Maricela 583
Marie 213
Mariel 963
Mariela 821
Marilyn 432
Marina 324
Marisa 255
Marisela 617
Marisol 400
Marissa 87
Maritza 486
Marjorie 887
Marla 805
Marlena 969
Marlene 390
Marquita 789
Marsha 964
Martha 229
Martika 757
Martina 832
Mary 35
Maryann 902
Maura 644
Maureen 497
Maya 399
Mayra 195
Mckenzie 490
Meagan 126
Meaghan 367
Megan 11
Meghan 91
Melanie 86
Melina 833
Melinda 207
Melisa 777
Melissa 20
Melody 314
Mercedes 176
Meredith 190
Mia 341
Micaela 811
Micah 907
Michael 750
Michaela 311
Michele 244
Michelle 22
Mikaela 773
Mikayla 711
Mindy 423
Miranda 112
Miriam 285
Misty 278
Mollie 462
Molly 80
Monica 76
Monika 785
Monique 132
Morgan 58
Moriah 801
Myra 701
Nadia 395
Nadine 694
Nancy 131
Naomi 300
Natalia 478
Natalie 63
Nataly 913
Natasha 105
Nathalie 662
Nia 864
Nichole 151
Nicole 13
Nicolette 511
Nikita 660
Nikki 282
Nikole 837
Nina 260
Noel 790
Noelle 463
Noemi 592
Nora 431
Norma 494
Octavia 618
Olga 786
Olivia 72
Paige 79
Pamela 237
Paola 665
Paris 542
Patrice 471
Patricia 97
Paula 296
Paulina 571
Pauline 756
Peggy 1000
Perla 636
Phoebe 872
Phylicia 787
Porsha 736
Portia 844
Precious 452
Princess 760
Priscilla 167
Rachael 111
Racheal 637
Rachel 16
Rachelle 332
Randi 338
Raquel 239
Raven 166
Rebeca 725
Rebecca 21
Rebekah 149
Regina 281
Renae 988
Renee 184
Reyna 726
Rhiannon 672
Rhonda 605
Richelle 898
